estado,zona,codigo_postal,ciudad
Anzoategui,Soledad,8013,Soledad
Anzoategui,Uríca,6001,Uríca
Anzoategui,Uverito,6001,Uverito
Anzoategui,Valle Guanape,6032,Valle Guanape
Anzoategui,Zuata,6057,Zuata
Apure,Achaguas,7002,Achaguas
Apure,Apurito,7003,Apurito
Apure,Arichuna,7001,Arichuna
Apure,Biruaca,7007,Biruaca
Apure,Bruzual,7005,Bruzual
Apure,Camaguán,7007,Camaguán
Apure,Cazorla,7001,Cazorla
Apure,Cunaviche,7001,Cunaviche
Apure,El Samán de Apure,7001,El Samán de Apure
Apure,El Yagual,7001,El Yagual
Apure,Elorza,7011,Elorza
Apure,Guáchara,7001,Guáchara
Apure,Guasimal,7001,Guasimal
Apure,Guayabal,7001,Guayabal
Apure,La Trinidad de Orichuna,7001,La Trinidad de Orichuna
Apure,Mantecal,7010,Mantecal
Apure,Municipio Quintero,7001,Municipio Quintero
Apure,Puerto Nova,7001,Puerto Nova
Apure,San Fernando,7001,San Fernando
Apure,San Juan de Payara,7001,San Juan de Payara
Apure,San Juan de Payara,7004,San Juan de Payara
Apure,San Rafael de Atamaica,7001,San Fernando de Apure
Apure,San Vicente,7001,San Vicente
Aragua,10 de Diciembre,2107,10 de Diciembre
Aragua,12 de Febrero,2104,12 de Febrero
Aragua,12 de Octubre (Maracay),2103,12 de Octubre (Maracay)
Aragua,"13 de Enero I, II, III (Maracay)",2103,"13 de Enero I, II, III (Maracay)"
Aragua,13 de Junio (Maracay),2103,13 de Junio (Maracay)
Aragua,18 de Mayo (Maracay),2103,18 de Mayo (Maracay)
Aragua,1º de Mayo (Maracay),2103,1º de Mayo (Maracay)
Aragua,23 de Enero (Maracay),2104,23 de Enero (Maracay)
Aragua,5 de Julio,2118,5 de Julio
Aragua,5 de Julio (Maracay),2103,5 de Julio (Maracay)
Aragua,Alayón (Maracay),2103,Alayón (Maracay)
Aragua,Alberto Solano (Maracay),2103,Alberto Solano (Maracay)
Aragua,Alí Primera (Cagua),2122,Alí Primera (Cagua)
Aragua,Andrés Bello (Maracay),2102,Andrés Bello (Maracay)
Aragua,Andrés Eloy (Santa Cruz),2123,Andrés Eloy (Santa Cruz)
Aragua,Andrés Eloy Blanco (Maracay),2103,Andrés Eloy Blanco (Maracay)
Aragua,Angélica de Lusinchi (Cagua),2122,Angélica de Lusinchi (Cagua)
Aragua,Apolo (Villa de Cura),2126,Apolo (Villa de Cura)
Aragua,Aquiles Nazoa (Maracay),2103,Aquiles Nazoa (Maracay)
Aragua,Aragüita (Villa de Cura),2126,Aragüita (Villa de Cura)
Aragua,Arias Blanco (El Limón),2105,Arias Blanco (El Limón)
Aragua,Arsenal (Maracay),2101,Arsenal (Maracay)
Aragua,Barbacoas,2301,Barbacoas
Aragua,Barrancón (Cagua),2122,Barrancón (Cagua)
Aragua,Base Aragua (Maracay),2102,Base Aragua (Maracay)
Aragua,Bella Vista (Cagua),2122,Bella Vista (Cagua)
Aragua,Bella Vista (Maracay),2102,Bella Vista (Maracay)
Aragua,Bello Monte (Palo Negro),2117,Bello Monte (Palo Negro)
Aragua,Bello Monte I y II (La Victoria),2121,Bello Monte I y II (La Victoria)
Aragua,Bermúdez (Maracay),2103,Bermúdez (Maracay)
Aragua,Bolívar (La Victoria),2121,Bolívar (La Victoria)
Aragua,Bolívar (Maracay),2104,Bolívar (Maracay)
Aragua,Bolívar (San Mateo),2120,Bolívar (San Mateo)
Aragua,Bosque Lindo (El Consejo),2118,Bosque Lindo (El Consejo)
Aragua,Brisas del Lago (Maracay),2104,Brisas del Lago (Maracay)
Aragua,Buenos Aires (Maracay),2103,Buenos Aires (Maracay)
Aragua,Caballero (Cagua),2122,Caballero (Cagua)
Aragua,Cadillal (Maracay),2104,Cadillal (Maracay)
Aragua,Cagua (Cagua),2122,Cagua (Cagua)
Aragua,Calicanto (Maracay),2101,Calicanto (Maracay)
Aragua,Camatagua,2335,Camatagua
Aragua,Camburito (Maracay),2103,Camburito (Maracay)
Aragua,Camejo (Villa de Cura),2126,Camejo (Villa de Cura)
Aragua,Campo Alegre (Cagua),2122,Campo Alegre (Cagua)
Aragua,Campo Alegre (Maracay),2103,Campo Alegre (Maracay)
Aragua,Campo Claro (Maracay),2101,Campo Claro (Maracay)
Aragua,Campo Elías (La Victoria),2121,Campo Elías (La Victoria)
Aragua,Caña de Azúcar (Maracay),2105,Caña de Azúcar (Maracay)
Aragua,Cañaote (Tejerías),2119,Cañaote (Tejerías)
Aragua,Cantarrana (Maracay),2102,Cantarrana (Maracay)
Aragua,Cantor Nieve Río (Tejerías),2119,Cantor Nieve Río (Tejerías)
Aragua,Carlos Andrés Pérez (Palo Negro),2117,Carlos Andrés Pérez (Palo Negro)
Aragua,Carlos Maza (Maracay),2103,Carlos Maza (Maracay)
Aragua,Carmen de Cura,2335,Carmen de Cura
Aragua,Carrizalito (Villa de Cura),2126,Carrizalito (Villa de Cura)
Aragua,Casanova Godoy (Maracay),2103,Casanova Godoy (Maracay)
Aragua,Casco de La Ciudad (Maracay),2101,Casco de La Ciudad (Maracay)
Aragua,Cata (Ocumare de La Costa),2114,Cata (Ocumare de La Costa)
Aragua,Cementerio (El Consejo),2118,Cementerio (El Consejo)
Aragua,Choroní (Choroní),2110,Choroní (Choroní)
Aragua,Ciudad Jardín (Cagua),2122,Ciudad Jardín (Cagua)
Aragua,Ciudad Jardín (Maracay),2102,Ciudad Jardín (Maracay)
Aragua,Ciudad Universitaria (El Limón),2105,Ciudad Universitaria (El Limón)
Aragua,Codazzi (Cagua),2122,Codazzi (Cagua)
Aragua,Colonia Tovar,1030,Colonia Tovar
Aragua,Cooperativa Los Olivos Nuevos (Maracay),2102,Cooperativa Los Olivos Nuevos (Maracay)
Aragua,Cooperativa Los Olivos Viejos (Maracay),2102,Cooperativa Los Olivos Viejos (Maracay)
Aragua,Corianza (Cagua),2122,Corianza (Cagua)
Aragua,Corocito (San Mateo),2120,Corocito (San Mateo)
Aragua,Coromoto (Maracay),2101,Coromoto (Maracay)
Aragua,Curiepe (Tejerías),2119,Curiepe (Tejerías)
Aragua,Cuyagua,2112,Cuyagua
Aragua,Cuyagua (Ocumare de La Costa),2112,Cuyagua (Ocumare de La Costa)
Aragua,Doctor Pedro García (Turmero),2116,Doctor Pedro García (Turmero)
Aragua,El Béisbol (Tejerías),2119,El Béisbol (Tejerías)
Aragua,El Bosque (Maracay),2102,El Bosque (Maracay)
Aragua,El Carmen (Cagua),2122,El Carmen (Cagua)
Aragua,El Carmen (La Victoria),2121,El Carmen (La Victoria)
Aragua,El Carmen (Maracay),2101,El Carmen (Maracay)
Aragua,El Cementerio (La Victoria),2121,El Cementerio (La Victoria)
Aragua,El Centro (Maracay),2104,El Centro (Maracay)
Aragua,El Consejo (El Consejo),2118,El Consejo (El Consejo)
Aragua,El Esfuerzo (Maracay),2104,El Esfuerzo (Maracay)
Aragua,El Estadium (La Victoria),2121,El Estadium (La Victoria)
Aragua,El Hipódromo (Maracay),2104,El Hipódromo (Maracay)
Aragua,El Indio (Maracay),2104,El Indio (Maracay)
Aragua,El Lago (Maracay),2104,El Lago (Maracay)
Aragua,El Lechosal (Cagua),2122,El Lechosal (Cagua)
Aragua,El Macaro (Turmero),2115,El Macaro (Turmero)
Aragua,El Maomo (Santa Cruz),2123,El Maomo (Santa Cruz)
Aragua,El Milagro (Maracay),2101,El Milagro (Maracay)
Aragua,El Nido (El Consejo),2118,El Nido (El Consejo)
Aragua,El Ortiseño (Palo Negro),2117,El Ortiseño (Palo Negro)
Aragua,"El Piñal (El Limón, Maracay)",2105,"El Piñal (El Limón, Maracay)"
Aragua,El Pinal (Maracay),2101,El Pinal (Maracay)
Aragua,"El Progreso (El Limón, Maracay)",2105,"El Progreso (El Limón, Maracay)"
Aragua,El Recreo (La Victoria),2121,El Recreo (La Victoria)
Aragua,El Recurso (Maracay),2101,El Recurso (Maracay)
Aragua,El Remanso (Santa Cruz),2123,El Remanso (Santa Cruz)
Aragua,El Tierral (19 de Abril Maracay),2107,El Tierral (19 de Abril Maracay)
Aragua,El Topo (Cagua),2122,El Topo (Cagua)
Aragua,El Toquito (Villa de Cura),2126,El Toquito (Villa de Cura)
Aragua,El Toro (Maracay),2101,El Toro (Maracay)
Aragua,El Toro (Maracay),2102,El Toro (Maracay)
Aragua,El Trébol (Maracay),2103,El Trébol (Maracay)
Aragua,El Triunfo (Maracay),2104,El Triunfo (Maracay)
Aragua,El Valle de Santa Rita (Maracay),2103,El Valle de Santa Rita (Maracay)
Aragua,El Viñedo (Maracay),2104,El Viñedo (Maracay)
Aragua,Ezequiel Zamora Palo Negro),2117,Ezequiel Zamora Palo Negro)
Aragua,Francisco de Miranda (Maracay),2103,Francisco de Miranda (Maracay)
Aragua,Francisco de Miranda (Villa de Cura),2126,Francisco de Miranda (Villa de Cura)
Aragua,Funda Villa I y II (Villa de Cura),2126,Funda Villa I y II (Villa de Cura)
Aragua,Fundación Mendoza (Maracay),2103,Fundación Mendoza (Maracay)
Aragua,Girardot (Maracay),2103,Girardot (Maracay)
Aragua,Guanarito (Turmero),2115,Guanarito (Turmero)
Aragua,Guaracarima (La Victoria),2121,Guaracarima (La Victoria)
Aragua,Guaruto (Maracay),2103,Guaruto (Maracay)
Aragua,Guayabita (Turmero),2115,Guayabita (Turmero)
Aragua,Guayamura (Maracay),2104,Guayamura (Maracay)
Aragua,Güere (Turmero),2115,Güere (Turmero)
Aragua,"Güerito (19 de Abril, Maracay)",2107,"Güerito (19 de Abril, Maracay)"
Aragua,Guillen (Cagua),2122,Guillen (Cagua)
Aragua,Guiripa,2338,Guiripa
Aragua,Independencia (Maracay),2101,Independencia (Maracay)
Aragua,Jabillar (Tejerias),2119,Jabillar (Tejerias)
Aragua,Jaime II (Villa de Cura),2126,Jaime II (Villa de Cura)
Aragua,José Antonio Páez (Maracay),2103,José Antonio Páez (Maracay)
Aragua,José Casanova Godoy (Maracay),2103,José Casanova Godoy (Maracay)
Aragua,José Félix Rivas (Maracay),2101,José Félix Rivas (Maracay)
Aragua,José Gregorio Hernández (Maracay),2103,José Gregorio Hernández (Maracay)
Aragua,Juan Moreno (El Consejo),2118,Juan Moreno (El Consejo)
Aragua,Juana Medina (Maracay),2104,Juana Medina (Maracay)
Aragua,Julio Bracho (El Consejo),2118,Julio Bracho (El Consejo)
Aragua,La Arboleda (Maracay),2102,La Arboleda (Maracay)
Aragua,La Arboleda (Santa Cruz),2123,La Arboleda (Santa Cruz)
Aragua,La Atascoza (Palo Negro),2117,La Atascoza (Palo Negro)
Aragua,La Avanzada (Maracay),2103,La Avanzada (Maracay)
Aragua,La Barraca (Maracay),2102,La Barraca (Maracay)
Aragua,"La Candelaria (El Limón, Maracay)",2105,"La Candelaria (El Limón, Maracay)"
Aragua,La Candelaria (Santa Cruz),2123,La Candelaria (Santa Cruz)
Aragua,La Capillita (Santa Cruz),2123,La Capillita (Santa Cruz)
Aragua,La Carpiera (Cagua),2122,La Carpiera (Cagua)
Aragua,La Chapa (La Victoria),2121,La Chapa (La Victoria)
Aragua,La Chatarrera (Maracay),2104,La Chatarrera (Maracay)
Aragua,La Concepción (El Consejo),2118,La Concepción (El Consejo)
Aragua,La Coromoto (maracay),2101,La Coromoto (maracay)
Aragua,La Crispera (La Victoria),2121,La Crispera (La Victoria)
Aragua,La Cruz (El Consejo),2118,La Cruz (El Consejo)
Aragua,"La Cruz (El Limón, Maracay)",2105,"La Cruz (El Limón, Maracay)"
Aragua,La Cruz(La Victoria),2121,La Cruz(La Victoria)
Aragua,La Cuarta (Palo Negro),2117,La Cuarta (Palo Negro)
Aragua,La Curia (San Mateo),2120,La Curia (San Mateo)
Aragua,La Democracia (Maracay),2101,La Democracia (Maracay)
Aragua,La Encrucijada (Turmero),2115,La Encrucijada (Turmero)
Aragua,La Esmeralda (Maracay),2103,La Esmeralda (Maracay)
Aragua,La Esmeraldita (Maracay),2103,La Esmeraldita (Maracay)
Aragua,La Floresta (Maracay),2102,La Floresta (Maracay)
Aragua,La Frontera (Palo Negro),2117,La Frontera (Palo Negro)
Aragua,La Frontera (Santa Cruz),2123,La Frontera (Santa Cruz)
Aragua,La Fuente (Turmero),2115,La Fuente (Turmero)
Aragua,La Fundación (Turmero),2115,La Fundación (Turmero)
Aragua,La Gallera (Maracay),2103,La Gallera (Maracay)
Aragua,La Hacienda (Cagua),2122,La Hacienda (Cagua)
Aragua,La Haciendita (Santa Cruz),2123,La Haciendita (Santa Cruz)
Aragua,La Hamaca (Maracay),2104,La Hamaca (Maracay)
Aragua,"La Herrereña (19 de Abril, Maracay)",2107,"La Herrereña (19 de Abril, Maracay)"
Aragua,La Iguana (El Consejo),2118,La Iguana (El Consejo)
Aragua,La Independencia (Maracay),2102,La Independencia (Maracay)
Aragua,La Isabelita (Maracay),2104,La Isabelita (Maracay)
Aragua,La Julia (Turmero),2115,La Julia (Turmero)
Aragua,La Majada (Santa Cruz),2123,La Majada (Santa Cruz)
Aragua,La Maracaya (Maracay),2103,La Maracaya (Maracay)
Aragua,La Mora (La Victoria),2121,La Mora (La Victoria)
Aragua,"La Morita I y III (19 de Abril, Maracay)",2107,"La Morita I y III (19 de Abril, Maracay)"
Aragua,La Olla (El Consejo),2118,La Olla (El Consejo)
Aragua,La Ovallera (Palo Negro),2117,La Ovallera (Palo Negro)
Aragua,La Participación (Maracay),2103,La Participación (Maracay)
Aragua,"La Paz (19 de Abril, Maracay)",2107,"La Paz (19 de Abril, Maracay)"
Aragua,La Paz (Maracay),2103,La Paz (Maracay)
Aragua,La Pedrera (Maracay),2102,La Pedrera (Maracay)
Aragua,La Pica (Palo Negro),2117,La Pica (Palo Negro)
Aragua,La Primavera (La Victoria),2121,La Primavera (La Victoria)
Aragua,"La Providencia (19 de Abril, Maracay)",2107,"La Providencia (19 de Abril, Maracay)"
Aragua,La Punta (Maracay),2103,La Punta (Maracay)
Aragua,La Represa (Villa de Cura),2126,La Represa (Villa de Cura)
Aragua,La Rinconada (Maracay),2102,La Rinconada (Maracay)
Aragua,La Romana Nueva (Maracay),2101,La Romana Nueva (Maracay)
Aragua,La Romana Vieja (Maracay),2101,La Romana Vieja (Maracay)
Aragua,La Rosa (El Consejo),2118,La Rosa (El Consejo)
Aragua,La Segundera (Cagua),2122,La Segundera (Cagua)
Aragua,La Soledad (Maracay),2102,La Soledad (Maracay)
Aragua,Las Acacias (Maracay),2103,Las Acacias (Maracay)
Aragua,Las Animas I y II (Palo Negro),2117,Las Animas I y II (Palo Negro)
Aragua,Las Brisas (Maracay),2102,Las Brisas (Maracay)
Aragua,Las Brisas (Maracay),2103,Las Brisas (Maracay)
Aragua,Las Carmenes (Maracay),2104,Las Carmenes (Maracay)
Aragua,Las Casitas (La Victoria),2121,Las Casitas (La Victoria)
Aragua,Las Cruces (Maracay),2104,Las Cruces (Maracay)
Aragua,"Las Delicias (Barrio, Maracay)",2102,"Las Delicias (Barrio, Maracay)"
Aragua,Las Delicias (Maracay),2102,Las Delicias (Maracay)
Aragua,Las Delicias (Maracay),2103,Las Delicias (Maracay)
Aragua,Las Flores (Maracay),2101,Las Flores (Maracay)
Aragua,Las Flores (San Mateo),2120,Las Flores (San Mateo)
Aragua,Las Luisas (El Consejo),2118,Las Luisas (El Consejo)
Aragua,"Las Mayas (El Limón, Maracay)",2105,"Las Mayas (El Limón, Maracay)"
Aragua,Las Mercedes (La Victoria),2121,Las Mercedes (La Victoria)
Aragua,Las Mercedes (Maracay),2104,Las Mercedes (Maracay)
Aragua,Las Mercedes (Villa de Cura),2126,Las Mercedes (Villa de Cura)
Aragua,Las Peñitas (Villa de Cura),2126,Las Peñitas (Villa de Cura)
Aragua,Las Tunas (La Victoria),2121,Las Tunas (La Victoria)
Aragua,Las Vegas (Cagua),2122,Las Vegas (Cagua)
Aragua,Las Vegas I y II (Maracay),2103,Las Vegas I y II (Maracay)
Aragua,Libertad (Maracay),2104,Libertad (Maracay)
Aragua,Libertad (Tejerias),2119,Libertad (Tejerias)
Aragua,"Libertador (19 de Abril, Palo Negro)",2107,"Libertador (19 de Abril, Palo Negro)"
Aragua,Libertador (Maracay),2104,Libertador (Maracay)
Aragua,Libertador (Palo Negro),2117,Libertador (Palo Negro)
Aragua,Los Cachos (Tejerias),2119,Los Cachos (Tejerias)
Aragua,Los Caobos (Maracay),2101,Los Caobos (Maracay)
Aragua,Los Caobos (Turmero),2115,Los Caobos (Turmero)
Aragua,Los Cerritos (El Consejo),2118,Los Cerritos (El Consejo)
Aragua,Los Chaguaramos (Maracay),2103,Los Chaguaramos (Maracay)
Aragua,Los Cocos (Cagua),2122,Los Cocos (Cagua)
Aragua,Los Cocos (Maracay),2103,Los Cocos (Maracay)
Aragua,Los Colorados (Villa de Cura),2126,Los Colorados (Villa de Cura)
Aragua,Los Galpones (Maracay),2104,Los Galpones (Maracay)
Aragua,Los Hornos (Palo Negro),2117,Los Hornos (Palo Negro)
Aragua,Los Jabillos (Maracay),2103,Los Jabillos (Maracay)
Aragua,Los Jabillos (Tejerias),2119,Los Jabillos (Tejerias)
Aragua,Los Manguitos (Santa Cruz),2123,Los Manguitos (Santa Cruz)
Aragua,Los Naranjos (Maracay),2102,Los Naranjos (Maracay)
Aragua,Los Naranjos (Palo Negro),2117,Los Naranjos (Palo Negro)
Aragua,Los Nísperos (Maracay),2103,Los Nísperos (Maracay)
Aragua,Los Nísperos (Turmero),2115,Los Nísperos (Turmero)
Aragua,Los Overos (Turmero),2115,Los Overos (Turmero)
Aragua,Los Pinos (Maracay),2104,Los Pinos (Maracay)
Aragua,Los Próceres (Maracay),2103,Los Próceres (Maracay)
Aragua,"Los Rauceos (El Limón, Maracay)",2105,"Los Rauceos (El Limón, Maracay)"
Aragua,Los Rosales (Maracay),2102,Los Rosales (Maracay)
Aragua,Los Samanes (Maracay),2104,Los Samanes (Maracay)
Aragua,Los Tanques (La Victoria),2121,Los Tanques (La Victoria)
Aragua,Los Tubos (Maracay),2104,Los Tubos (Maracay)
Aragua,Lourdes (Maracay),2104,Lourdes (Maracay)
Aragua,Magdaleno (Magdaleno),2128,Magdaleno (Magdaleno)
Aragua,Malariología Antonio Aranguren (Palo Negro),2117,Malariología Antonio Aranguren (Palo Negro)
Aragua,Maracay II (Maracay),2104,Maracay II (Maracay)
Aragua,Marcelo Guzmán (Turmero),2115,Marcelo Guzmán (Turmero)
Aragua,María Cristina (Maracay),2104,María Cristina (Maracay)
Aragua,Mario Briceño Iragorry (Maracay),2103,Mario Briceño Iragorry (Maracay)
Aragua,Mariscal Sucre (Maracay),2104,Mariscal Sucre (Maracay)
Aragua,Mata Redonda (Maracay),2103,Mata Redonda (Maracay)
Aragua,Mata Redonda (Maracay),2104,Mata Redonda (Maracay)
Aragua,"Mata Seca (El Limón, Maracay)",2105,"Mata Seca (El Limón, Maracay)"
Aragua,Medina Angarita (Cagua),2122,Medina Angarita (Cagua)
Aragua,Mendoza (Tejerias),2119,Mendoza (Tejerias)
Aragua,Miranda (La Victoria),2121,Miranda (La Victoria)
Aragua,Monserrat (Santa Cruz),2123,Monserrat (Santa Cruz)
Aragua,Mora 2 (La Victoria),2121,Mora 2 (La Victoria)
Aragua,"Morean Soto (19 de Abril, Maracay)",2107,"Morean Soto (19 de Abril, Maracay)"
Aragua,Morian Soto (Maracay),2103,Morian Soto (Maracay)
Aragua,Morita II (Maracay),2103,Morita II (Maracay)
Aragua,Negro Primero (Villa de Cura),2126,Negro Primero (Villa de Cura)
Aragua,Niño de Jesús (El Consejo),2118,Niño de Jesús (El Consejo)
Aragua,"Niño de Jesús (El Limón, Maracay)",2105,"Niño de Jesús (El Limón, Maracay)"
Aragua,Oasis (Maracay),2103,Oasis (Maracay)
Aragua,Ocumare de La Costa (Ocumare de La Costa),2112,Ocumare de La Costa (Ocumare de La Costa)
Aragua,Ocumarito (Palo Negro),2117,Ocumarito (Palo Negro)
Aragua,Orope (San Mateo),2120,Orope (San Mateo)
Aragua,Otras Poblaciones,2101,Maracay
Aragua,Palma Real (Maracay),2103,Palma Real (Maracay)
Aragua,Palo Negro (Palo Negro),2117,Palo Negro (Palo Negro)
Aragua,"Paraparal I, II, III (Maracay)",2103,"Paraparal I, II, III (Maracay)"
Aragua,Payita (Turmero),2115,Payita (Turmero)
Aragua,Peñuela Ruiz (Santa Cruz),2123,Peñuela Ruiz (Santa Cruz)
Aragua,Piñonal (Maracay),2103,Piñonal (Maracay)
Aragua,Piñonal Sur (Maracay),2103,Piñonal Sur (Maracay)
Aragua,Polvorín (Turmero),2115,Polvorín (Turmero)
Aragua,Portachuelo (La Victoria),2121,Portachuelo (La Victoria)
Aragua,Primitivo de Jesús (La Victoria),2121,Primitivo de Jesús (La Victoria)
Aragua,Pueblo Nuevo (Tejerias),2119,Pueblo Nuevo (Tejerias)
Aragua,Puerto Colombia,2113,Puerto Colombia
Aragua,Quebrada de Pipe (San Mateo),2120,Quebrada de Pipe (San Mateo)
Aragua,Rafael Caldera (Maracay),2103,Rafael Caldera (Maracay)
Aragua,Rafael Urdaneta (Maracay),2103,Rafael Urdaneta (Maracay)
Aragua,Residencias Coromoto (Maracay),2101,Residencias Coromoto (Maracay)
Aragua,Río Blanco I y II (Maracay),2103,Río Blanco I y II (Maracay)
Aragua,"Rodríguez Palencia (19 de Abril, Maracay)",2107,"Rodríguez Palencia (19 de Abril, Maracay)"
Aragua,Rómulo Gallegos (Ocumare de La Costa - Cagua),2122,Rómulo Gallegos (Ocumare de La Costa - Cagua)
Aragua,Rosario de Paya (Turmero),2115,Rosario de Paya (Turmero)
Aragua,Ruiz (Tejerias),2119,Ruiz (Tejerias)
Aragua,Sabaneta (El Consejo),2118,Sabaneta (El Consejo)
Aragua,"Samán de Güere (19 de Abril, Maracay)",2107,"Samán de Güere (19 de Abril, Maracay)"
Aragua,San Carlos (Maracay),2103,San Carlos (Maracay)
Aragua,San Carlos (Turmero),2115,San Carlos (Turmero)
Aragua,San Casimiro,2338,San Casimiro
Aragua,San Francisco (Maracay),2102,San Francisco (Maracay)
Aragua,San Francisco de Asís (San Francisco de Asís),2125,San Francisco de Asís (San Francisco de Asís)
Aragua,San Francisco de Cara,2335,San Francisco de Cara
Aragua,San Ignacio (Maracay),2104,San Ignacio (Maracay)
Aragua,San Isidro (Maracay),2101,San Isidro (Maracay)
Aragua,San Jacinto (Maracay),2102,San Jacinto (Maracay)
Aragua,"San Joaquín de Turmero (19 de Abril, Maracay)",2107,"San Joaquín de Turmero (19 de Abril, Maracay)"
Aragua,San José (Maracay),2103,San José (Maracay)
Aragua,San Luis (Maracay),2103,San Luis (Maracay)
Aragua,San Mateo (San Mateo),2120,San Mateo (San Mateo)
Aragua,San Miguel (Maracay),2102,San Miguel (Maracay)
Aragua,San Miguel (Maracay),2103,San Miguel (Maracay)
Aragua,San Miguel (Maracay),2104,San Miguel (Maracay)
Aragua,San Miguel (Palo Negro),2117,San Miguel (Palo Negro)
Aragua,San Pablo (Turmero),2115,San Pablo (Turmero)
Aragua,San Pedro Alejandrino (Maracay),2103,San Pedro Alejandrino (Maracay)
Aragua,San Sebastian,2340,San Sebastian
Aragua,San Vicente (Maracay),2104,San Vicente (Maracay)
Aragua,San Vicente I y II (Maracay),2104,San Vicente I y II (Maracay)
Aragua,Santa Ana (Maracay),2103,Santa Ana (Maracay)
Aragua,Santa Ana (Palo Negro),2117,Santa Ana (Palo Negro)
Aragua,Santa Cruz (Santa Cruz),2123,Santa Cruz (Santa Cruz)
Aragua,Santa Eduvigis (Maracay),2102,Santa Eduvigis (Maracay)
Aragua,Santa Elena (Palo Negro),2117,Santa Elena (Palo Negro)
Aragua,Santa Rita (Maracay),2103,Santa Rita (Maracay)
Aragua,Santa Rosa (Maracay),2104,Santa Rosa (Maracay)
Aragua,Santa Rosalía (Cagua),2122,Santa Rosalía (Cagua)
Aragua,Santa Rosalía (Palo Negro),2117,Santa Rosalía (Palo Negro)
Aragua,Santo Domingo (El Consejo),2118,Santo Domingo (El Consejo)
Aragua,Sector E (Maracay),2104,Sector E (Maracay)
Aragua,Sector El Mijaú (La Victoria),2121,Sector El Mijaú (La Victoria)
Aragua,Sector Jovalito (La Victoria),2121,Sector Jovalito (La Victoria)
Aragua,Sector La Ceiba (La Victoria),2121,Sector La Ceiba (La Victoria)
Aragua,Sector La Vaquera (Maracay),2104,Sector La Vaquera (Maracay)
Aragua,Sector Punta del Monte (La Victoria),2121,Sector Punta del Monte (La Victoria)
Aragua,Sector San José (La Victoria),2121,Sector San José (La Victoria)
Aragua,Sergio Medina (Maracay),2103,Sergio Medina (Maracay)
